,City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
451,santa marinella,78,PH,67,17.49,120.43,88.03,5.01
452,araouane,74,ML,37,18.9,-3.53,91.63,11.52
453,boende,93,CD,91,-0.22,20.87,70.61,2.75
454,san antonio,6,ML,81,13.3,-4.9,75.83,6.02
455,tarauaca,11,BR,81,-8.16,-70.77,73.45,0.63
456,garden city,20,DE,93,53.69,12.05,55.0,5.82
457,natal,90,BR,94,-5.79,-35.21,71.6,3.36
458,sorong,0,ID,71,-0.88,131.25,83.3,4.88
459,aquiraz,75,BR,78,-3.9,-38.39,78.8,11.41
460,saint-augustin,12,CA,57,51.23,-58.65,62.19,8.81
461,dori,99,BF,67,14.04,-0.03,82.06,15.79
462,koungheul,96,SN,85,13.98,-14.8,76.95,5.77
463,ayan,99,RU,92,56.45,138.17,55.42,8.05
464,benguela,0,AO,65,-12.58,13.41,66.11,1.92
465,wakuya,75,JP,82,38.53,141.13,71.6,4.7
466,naze,75,JP,83,28.37,129.48,82.4,13.87
467,baracoa,25,CU,81,20.35,-74.5,80.26,9.48
468,grand centre,1,US,16,38.88,-109.5,91.4,4.7
469,burnie,0,AU,56,-41.07,145.92,54.0,5.01
470,isangel,40,VU,74,-19.55,169.27,80.6,6.93
471,makakilo city,20,US,70,21.35,-158.09,87.8,13.87
472,evensk,100,RU,94,61.95,159.23,51.13,11.18
473,nagato,20,JP,74,34.38,131.2,78.8,6.93
474,richmond,20,US,83,37.55,-77.46,81.0,10.29
475,jacareacanga,87,BR,67,-6.22,-57.75,75.61,1.66
476,sibiti,99,CG,96,-3.68,13.35,64.53,2.82
477,gordeyevka,19,RU,87,52.96,31.97,54.54,0.78
478,chapais,90,CA,93,49.78,-74.85,66.2,8.05
479,pascagoula,1,US,88,30.37,-88.56,78.8,4.0
480,baruun-urt,100,MN,76,46.68,113.28,63.95,13.69
481,sosnovo-ozerskoye,52,RU,55,52.52,111.54,62.47,9.75
482,toamasina,99,MG,81,-18.17,49.38,66.79,18.1
483,bukama,54,CD,59,-9.2,25.85,57.96,2.24
484,mujiayingzi,100,CN,48,42.12,118.78,82.9,17.09
485,abu samrah,4,IN,80,24.6,72.7,77.29,1.28
486,anuradhapura,100,LK,77,8.36,80.42,81.07,11.3
487,boca do acre,12,IT,88,45.68,8.41,66.0,3.36
488,batagay-alyta,100,RU,87,67.8,130.41,46.13,2.21
489,moussoro,100,TD,68,13.64,16.49,80.17,12.64
490,hirara,75,JP,83,24.8,125.28,84.2,18.34
491,cabatuan,1,PH,66,10.88,122.49,87.89,2.55
492,ara,20,IN,83,25.57,84.67,84.2,5.82
493,guapiacu,76,BR,44,-20.8,-49.22,75.2,4.54
494,dunedin,25,NZ,62,-45.87,170.5,48.0,13.24
495,bonfim,67,BR,87,3.08,-59.95,75.79,3.15
496,fort nelson,83,NL,89,52.65,6.39,57.0,1.88
497,port hardy,53,CD,53,-7.03,29.76,64.42,2.28
498,high level,0,US,69,33.61,-95.75,87.01,8.23
499,chifeng,100,CN,43,42.27,118.96,85.96,18.92
500,matamoros,75,MX,22,25.53,-103.25,91.4,5.82
501,belmonte,75,BR,69,-15.86,-38.88,75.2,8.05
502,rouvroy,90,FR,87,50.39,2.9,61.0,3.36
503,itupiranga,0,BR,83,-5.13,-49.33,75.2,1.01
504,lorengau,54,PG,62,-2.02,147.27,86.27,3.4
505,urusha,98,RU,59,54.05,122.9,75.97,3.27
506,novonikolayevskiy,70,RU,77,50.97,42.36,57.0,0.76
507,sikeston,75,US,69,36.88,-89.59,82.4,4.7
508,kurchum,65,KZ,36,48.57,83.65,82.08,4.88
509,qandala,93,SO,42,11.47,49.87,87.08,13.73
510,nakamura,76,JP,66,32.98,132.93,79.88,4.23
511,bama,98,NG,83,11.52,13.69,73.74,8.28
512,craigieburn,75,AU,81,-37.6,144.95,48.2,4.7
513,noshiro,75,JP,69,40.2,140.02,77.0,4.7
514,jurado,100,CO,86,7.11,-77.76,77.13,2.24
515,catamarca,0,AR,64,-28.47,-65.79,54.0,1.01
516,bubaque,100,GW,87,11.28,-15.83,78.37,19.22
517,narayanganj,75,BD,74,23.62,90.5,86.0,11.41
518,acaponeta,74,MX,76,22.5,-105.36,81.5,1.77
519,jiquilpan,87,MX,84,19.78,-103.78,67.68,1.36
520,goderich,7,CA,86,43.75,-81.72,68.0,6.55
521,bunia,100,CD,83,1.57,30.25,63.23,0.07
522,monforte de lemos,34,ES,72,42.52,-7.51,64.0,1.72
523,wanxian,100,CN,88,30.8,108.39,76.03,3.47
524,chara,100,RU,68,56.91,118.26,64.38,5.44
525,kautokeino,92,NO,75,69.01,23.04,56.44,3.65
526,north platte,24,FR,93,50.33,3.67,60.01,3.36
527,umea,0,SE,100,63.83,20.26,51.8,1.12
528,omsukchan,99,RU,76,62.53,155.8,58.15,6.42
529,praia,75,CV,73,14.92,-23.51,77.0,12.75
530,cerrito,68,CO,87,6.84,-72.69,51.08,3.78
531,buriti bravo,0,BR,93,-22.93,-45.39,57.2,2.24
532,maku,0,IR,56,39.29,44.45,69.31,1.21
533,areosa,47,PT,69,41.72,-8.86,81.0,5.82
534,touros,90,BR,94,-5.2,-35.46,71.6,3.36
535,moosomin,0,CA,77,50.13,-101.67,61.61,1.63
536,terrace bay,75,CA,67,54.52,-128.6,62.6,19.46
537,santa fe,78,PH,67,17.49,120.43,88.03,5.01
538,faya,20,SA,37,18.39,42.45,69.8,10.69
539,kambove,1,CD,89,-10.88,26.6,43.52,7.34
540,deputatskiy,68,RU,53,69.3,139.9,49.14,5.79
541,ipixuna,40,BR,83,-1.76,-48.8,78.8,5.82
542,lelystad,87,NL,76,52.51,5.47,61.0,3.0
543,paita,6,PE,83,-5.09,-81.11,62.49,9.44
544,sault sainte marie,1,FR,64,44.09,5.41,68.0,27.51
545,lumby,20,CA,28,50.25,-118.97,80.6,20.8
546,hirtshals,17,DK,94,57.59,9.96,48.0,10.18
547,nanakuli,20,US,70,21.39,-158.15,87.01,13.87
548,bordighera,20,IT,78,43.78,7.66,71.6,4.7
549,groesbeek,90,NL,100,51.77,5.92,57.99,2.24
550,rudbar,2,AF,28,30.15,62.6,86.0,11.9
551,safford,1,US,21,32.83,-109.71,93.2,26.4
552,kutum,93,SD,61,14.2,24.67,74.95,10.71
553,san quintin,6,ML,81,13.3,-4.9,75.83,6.02
554,tupi paulista,28,PH,64,6.32,124.95,84.67,2.89
555,bafra,75,TR,78,41.57,35.91,71.6,6.93
556,pochutla,44,MX,86,15.74,-96.47,81.0,3.29
557,oppdal,100,NO,72,62.59,9.69,56.98,4.9
558,pafos,0,CY,77,34.77,32.42,69.8,9.17
559,tsabong,0,BW,61,-26.02,22.4,39.52,8.63
560,hurricane,1,US,11,37.18,-113.29,100.4,10.29
561,progreso,40,MX,65,21.28,-89.67,84.0,5.82
562,bristol,1,US,82,41.83,-71.17,64.0,4.43
563,havoysund,100,NO,82,71.0,24.66,55.4,4.7
564,luderitz,0,NA,13,-26.65,15.16,77.0,24.16
